date	platform	name	library	factorization time	resolution time	relative error	physical memory	virtual memory

05-06-2019 14:19:19	Windows	ex15	matlab	0,000057	0	0,000000e+00	556236800	681746432
05-06-2019 14:19:36	Windows	shallow_water1	matlab	0,000061	0	0,000000e+00	559005696	688349184
05-06-2019 14:19:52	Windows	apache2	matlab	0,000063	0	0,000000e+00	627769344	787505152
05-06-2019 14:20:09	Windows	parabolic_fem	matlab	0,000071	0	0,000000e+00	616943616	770854912
05-06-2019 14:20:25	Windows	G3_circuit	matlab	0,000064	0	0,000000e+00	682418176	846233600
05-06-2019 14:20:42	Windows	cfd1	matlab	0,000071	0	0,000000e+00	580939776	717635584
05-06-2019 14:20:58	Windows	cfd2	matlab	0,000063	0	0,000000e+00	599363584	744665088
05-06-2019 14:21:17	Windows	StocF-1465	matlab	0,000067	0	0,000000e+00	895074304	1128857600
05-06-2019 14:21:40	Windows	Flan_1565	matlab	0,000069	0	0,000000e+00	2440032256	2973970432

05-06-2019 15:11:33	Windows	ex15	eigen	0,000000	0,000000	0	487424	409600
05-06-2019 15:11:34	Windows	shallow_water1	eigen	0,000000	0,000000	0	614400	278528
05-06-2019 15:11:38	Windows	cfd1	eigen	0,000000	0,000000	0	19984384	33976320
05-06-2019 15:11:43	Windows	cfd2	eigen	0,000000	0,000000	0	36270080	65236992
05-06-2019 15:11:50	Windows	apache2	eigen	0,000000	0,000000	0	74248192	138014720
05-06-2019 15:11:58	Windows	parabolic_fem	eigen	0,000000	0,000000	0	54837248	97423360
05-06-2019 15:12:11	Windows	G3_circuit	eigen	0,000000	0,000000	0	122703872	217350144
05-06-2019 15:12:46	Windows	StocF-1465	eigen	0,000000	0,000000	0	499781632	697409536
05-06-2019 15:15:45	Windows	Flan_1565	eigen	0,000000	0,000000	0	3303735296	0

