date	platform	name	library	factorization time	resolution time	relative error	physical memory	virtual memory	AFTERLOAD.physical memory	AFTERLOAD.virtual memory	matrix.size	matrix.nonzeros
05/06/2019 14:57:43	Windows	ex15	matlab	0,152491	0	6,79128E-07	564879360	721424384	556236800	681746432	6867	98671
05/06/2019 14:58:00	Windows	shallow_water1	matlab	0,264234	0	2,37681E-16	582688768	869351424	559005696	688349184	81920	327680
05/06/2019 14:58:24	Windows	apache2	matlab	6,602066	0	4,37427E-11	2510172160	2969202688	627769344	787505152	715176	4817870
05/06/2019 14:58:44	Windows	parabolic_fem	matlab	2,314699	0	1,09248E-12	792535040	1432154112	616943616	770854912	525825	3674625
05/06/2019 14:59:29	Windows	cfd1	matlab	1,181498	0	1,00669E-13	799039488	1318182912	580939776	717635584	70656	1825580
05/06/2019 14:59:48	Windows	cfd2	matlab	2,318785	0	3,21295E-13	1300439040	1748312064	599363584	744665088	123440	3085406
05/06/2019 14:59:11	Windows	G3_circuit	matlab	10,364955	0	3,52382E-12	3042807808	3441360896	682418176	846233600	1585478	7660826
05/06/2019 15:04:31	Windows	StocF-1465	matlab	264,407631	0	2,42913E-10	35852569245	0	895074304	1128857600	1465137	21005389
05/06/2019 15:07:32	Windows	Flan_1565	matlab	157,243423	0	2,65919E-12	36652158216	0	2440032256	2973970432	1564794	114165372
05/06/2019 15:19:10	Windows	ex15	eigen	0,021485	0,00099	7,26641E-07	507904	405504	487424	409600	6867	98671
05/06/2019 15:19:12	Windows	shallow_water1	eigen	1,012249	0,012676	2,42931E-16	56074240	57163776	614400	278528	81920	327680
05/06/2019 15:19:48	Windows	cfd1	eigen	32,142868	0,152115	2,56555E-12	646709248	646713344	19984384	33976320	70656	1825580
05/06/2019 15:21:50	Windows	cfd2	eigen	116,66664	0,328318	5,58539E-12	1294618624	1296216064	36270080	65236992	123440	3085406
05/06/2019 15:28:51	Windows	apache2	eigen	412,75992	1,085765	9,88465E-11	3791831040	3802984448	74248192	138014720	715176	4817870
05/06/2019 15:29:15	Windows	parabolic_fem	eigen	15,527345	0,211358	2,45574E-12	754716672	758550528	54837248	97423360	525825	3674625
05/06/2019 15:32:45	Windows	G3_circuit	eigen	195,845698	1,094585	6,28471E-12	3126218752	3143077888	122703872	217350144	1585478	7660826
06/06/2019 02:11:27	Windows	StocF-1465	eigen	37877,44818	407,816414	8,60825E-10	0	0	499781632	697409536	1465137	21005389
06/06/2019 07:37:05	Windows	Flan_1565	eigen	19120,81748	231,587816	3,12817E-09	0	0	3303735296	0	1564794	114165372
31/05/2019 10:20:48	Linux	ex15	matlab	0,129503	0	6,80304E-07	616226816	5586984960	601239552	5264527360	6867	98671
31/05/2019 10:21:01	Linux	shallow_water1	matlab	0,352017	0	2,3769E-16	678342656	5637980160	604721152	5264527360	81920	327680
31/05/2019 10:21:27	Linux	apache2	matlab	6,910093	0	4,37411E-11	2747580416	7712366592	610725888	5300396032	715176	4817870
31/05/2019 10:21:41	Linux	parabolic_fem	matlab	2,093085	0	1,08593E-12	1170915328	6190460928	625561600	5280600064	525825	3674625
31/05/2019 10:22:01	Linux	G3_circuit	matlab	9,406622	0	3,52312E-12	3213533184	8211214336	627224576	5383495680	1585478	7660826
31/05/2019 10:22:14	Linux	cfd1	matlab	1,244507	0	9,45104E-14	903798784	5995126784	627863552	5281304576	70656	1825580
31/05/2019 10:22:28	Linux	cfd2	matlab	2,578697	0	4,12977E-13	1393491968	6454243328	664002560	5300514816	123440	3085406
31/05/2019 11:46:14	Linux	StocF-1465	matlab	412,928558	0	2,43363E-10	39069523968	44134256640	826363904	5649428480	1465137	21005389
31/05/2019 11:50:41	Linux	Flan_1565	matlab	236,228833	0	2,55392E-12	38290833408	44119457792	2302312448	7513423872	1564794	114165372
31/05/2019 10:20:53	Linux	ex15	scikit-sparse	0,067697246	0,000843213	6,37304E-07	602112	18378752	614400	18378752	6867	98671
31/05/2019 10:21:07	Linux	shallow_water1	scikit-sparse	1,685418551	0,011823893	2,41914E-16	77299712	598962176	606208	18378752	81920	327680
31/05/2019 10:22:40	Linux	cfd1	scikit-sparse	10,22760852	0,057559107	2,49367E-14	328826880	835584000	49659904	532525056	70656	1825580
31/05/2019 10:26:15	Linux	cfd2	scikit-sparse	21,92994838	0,11028332	3,79735E-13	559341568	1066676224	57704448	543023104	123440	3085406
31/05/2019 10:38:15	Linux	apache2	scikit-sparse	105,4692618	0,467227725	2,64395E-11	1694273536	2207207424	75108352	561594368	715176	4817870
31/05/2019 11:17:11	Linux	parabolic_fem	scikit-sparse	17,94779346	0,16476089	1,21863E-12	618078208	1124278272	97374208	592941056	525825	3674625
31/05/2019 11:19:53	Linux	G3_circuit	scikit-sparse	65,40407216	0,440807121	2,74197E-12	1575497728	2087006208	106397696	591302656	1585478	7660826
31/05/2019 12:21:37	Linux	StocF-1465	scikit-sparse	1943,295803	3,025987949	2,67285E-10	11211063296	11720224768	212443136	697090048	1465137	21005389
08/06/2019 18:02:30	Linux	Flan_1565	scikit-sparse	1905,200709	4,115343041	7,84149E-11	18308370432	18817208320	2624696320	3857944576	1564794	114165372
06/06/2019 14:31:13	Linux	ex15	eigen	0,203223	0,013257	7,26641E-07	630784	14454784	716800	14315520	6867	98671
06/06/2019 14:31:19	Linux	shallow_water1	eigen	4,013788	0,149161	2,42931E-16	59854848	71630848	724992	14307328	81920	327680
06/06/2019 14:34:02	Linux	cfd1	eigen	159,748012	1,106424	2,56555E-12	649474048	660754432	25325568	55402496	70656	1825580
06/06/2019 14:42:46	Linux	cfd2	eigen	518,790465	2,247373	5,58539E-12	1335136256	1346158592	45522944	93466624	123440	3085406
06/06/2019 15:15:10	Linux	apache2	eigen	1931,194397	7,132741	9,88465E-11	3795001344	3811631104	153673728	270819328	715176	4817870
06/06/2019 15:16:40	Linux	parabolic_fem	eigen	82,579598	1,603419	2,45574E-12	761946112	773050368	98234368	199180288	525825	3674625
06/06/2019 15:32:03	Linux	G3_circuit	eigen	906,059392	6,472173	6,28471E-12	3125452800	3148812288	273346560	501141504	1585478	7660826
