date	platform	name	library	TOTAL TIME (sec)	TOTAL TIME (min)	P_MEMORY (KB)	V_MEMORY (KB)	RELATIVE ERROR	matrix.size	matrix.nonzeros
31/05/2019 10:20:53	Linux	ex15	scikit-sparse	0,068540459	0,001142341	12	0	6,37304E-07	6867	98671
31/05/2019 10:20:48	Linux	ex15	matlab	0,129503	0,002158383	14636	314900	6,80304E-07	6867	98671
05/06/2019 14:57:43	Windows	ex15	matlab	0,152491	0,002541517	8440	38748	6,79128E-07	6867	98671
06/06/2019 14:31:13	Linux	ex15	eigen	0,21648	0,003608	84	136	7,26641E-07	6867	98671
05/06/2019 15:19:10	Windows	ex15	eigen	0,022475	0,000374583	20	4	7,26641E-07	6867	98671
31/05/2019 10:21:07	Linux	shallow_water1	scikit-sparse	1,697242444	0,028287374	74896	566976	2,41914E-16	81920	327680
31/05/2019 10:21:01	Linux	shallow_water1	matlab	0,352017	0,00586695	71896	364700	2,3769E-16	81920	327680
05/06/2019 14:58:00	Windows	shallow_water1	matlab	0,264234	0,0044039	23128	176760	2,37681E-16	81920	327680
06/06/2019 14:31:19	Linux	shallow_water1	eigen	4,162949	0,069382483	57744	55980	2,42931E-16	81920	327680
05/06/2019 15:19:12	Windows	shallow_water1	eigen	1,024925	0,017082083	54160	55552	2,42931E-16	81920	327680
31/05/2019 10:22:40	Linux	cfd1	scikit-sparse	10,28516763	0,17141946	272624	295956	2,49367E-14	70656	1825580
31/05/2019 10:22:14	Linux	cfd1	matlab	1,244507	0,020741783	269468	697092	9,45104E-14	70656	1825580
05/06/2019 14:59:29	Windows	cfd1	matlab	1,181498	0,019691633	212988	586472	1,00669E-13	70656	1825580
06/06/2019 14:34:02	Linux	cfd1	eigen	160,854436	2,680907267	609520	591164	2,56555E-12	70656	1825580
05/06/2019 15:19:48	Windows	cfd1	eigen	32,294983	0,538249717	612036	598376	2,56555E-12	70656	1825580
31/05/2019 10:26:15	Linux	cfd2	scikit-sparse	22,0402317	0,367337195	489880	511380	3,79735E-13	123440	3085406
31/05/2019 10:22:28	Linux	cfd2	matlab	2,578697	0,042978283	712392	1126688	4,12977E-13	123440	3085406
05/06/2019 14:59:48	Windows	cfd2	matlab	2,318785	0,038646417	684644	980124	3,21295E-13	123440	3085406
06/06/2019 14:42:46	Linux	cfd2	eigen	521,037838	8,683963967	1259388	1223332	5,58539E-12	123440	3085406
05/06/2019 15:21:50	Windows	cfd2	eigen	116,994958	1,949915967	1228856	1202128	5,58539E-12	123440	3085406
31/05/2019 11:17:11	Linux	parabolic_fem	scikit-sparse	18,11255435	0,301875906	508500	518884	1,21863E-12	525825	3674625
31/05/2019 10:21:41	Linux	parabolic_fem	matlab	2,093085	0,03488475	532572	888536	1,08593E-12	525825	3674625
05/06/2019 14:58:44	Windows	parabolic_fem	matlab	2,314699	0,038578317	171476	645800	1,09248E-12	525825	3674625
06/06/2019 15:16:40	Linux	parabolic_fem	eigen	84,183017	1,403050283	648156	560420	2,45574E-12	525825	3674625
05/06/2019 15:29:15	Windows	parabolic_fem	eigen	15,738703	0,262311717	683476	645632	2,45574E-12	525825	3674625
31/05/2019 10:38:15	Linux	apache2	scikit-sparse	105,9364895	1,765608159	1581216	1607044	2,64395E-11	715176	4817870
31/05/2019 10:21:27	Linux	apache2	matlab	6,910093	0,115168217	2086772	2355440	4,37411E-11	715176	4817870
05/06/2019 14:58:24	Windows	apache2	matlab	6,602066	0,110034433	1838284	2130564	4,37427E-11	715176	4817870
06/06/2019 15:15:10	Linux	apache2	eigen	1938,327138	32,3054523	3555984	3457824	9,88465E-11	715176	4817870
05/06/2019 15:28:51	Windows	apache2	eigen	413,845685	6,897428083	3630452	3579072	9,88465E-11	715176	4817870
31/05/2019 11:19:53	Linux	G3_circuit	scikit-sparse	65,84487928	1,097414655	1434668	1460648	2,74197E-12	1585478	7660826
31/05/2019 10:22:01	Linux	G3_circuit	matlab	9,406622	0,156777033	2525692	2761444	3,52312E-12	1585478	7660826
05/06/2019 14:59:11	Windows	G3_circuit	matlab	10,364955	0,17274925	2305068	2534304	3,52382E-12	1585478	7660826
06/06/2019 15:32:03	Linux	G3_circuit	eigen	912,531565	15,20885942	2785260	2585616	6,28471E-12	1585478	7660826
05/06/2019 15:32:45	Windows	G3_circuit	eigen	196,940283	3,28233805	2933120	2857156	6,28471E-12	1585478	7660826
31/05/2019 12:21:37	Linux	StocF-1465	scikit-sparse	1946,321791	32,43869652	10740840	10764780	2,67285E-10	1465137	21005389
31/05/2019 11:46:14	Linux	StocF-1465	matlab	412,928558	6,882142633	37346836	37582840	2,43363E-10	1465137	21005389
05/06/2019 15:04:31	Windows	StocF-1465	matlab	264,407631	4,40679385	3320208	3091904	2,42913E-10	1465137	21005389
06/06/2019 02:11:27	Windows	StocF-1465	eigen	38285,26459	638,0877432	3706236	3513240	8,60825E-10	1465137	21005389
31/05/2019 11:50:41	Linux	Flan_1565	matlab	236,228833	3,937147217	35145040	35748080	2,55392E-12	1564794	114165372
05/06/2019 15:07:32	Windows	Flan_1565	matlab	157,243423	2,620723717	1811460	1290036	2,65919E-12	1564794	114165372
06/06/2019 07:37:05	Windows	Flan_1565	eigen	19352,4053	322,5400883	968000	0	3,12817E-09	1564794	114165372
