date,platform,name,library,factorization time,resolution time,relative error,physical memory,virtual memory
05-06-2019 10:26:40, Windows, res/matrices/ex15, eigen, 0.000000, 0.000000, 0, 77824, 380928
05-06-2019 10:26:41, Windows, res/matrices/shallow_water1, eigen, 0.000000, 0.000000, 0, 98304, 385024
05-06-2019 10:26:45, Windows, res/matrices/cfd1, eigen, 0.000000, 0.000000, 0, 19783680, 33968128
05-06-2019 10:26:50, Windows, res/matrices/cfd2, eigen, 0.000000, 0.000000, 0, 35934208, 65220608
05-06-2019 10:26:57, Windows, res/matrices/apache2, eigen, 0.000000, 0.000000, 0, 73166848, 137994240
05-06-2019 10:27:05, Windows, res/matrices/parabolic_fem, eigen, 0.000000, 0.000000, 0, 136290304, 177418240
05-06-2019 10:27:19, Windows, res/matrices/G3_circuit, eigen, 0.000000, 0.000000, 0, 121790464, 217341952
05-06-2019 10:27:55, Windows, res/matrices/StocF-1465, eigen, 0.000000, 0.000000, 0, 284422144, 514093056
05-06-2019 10:30:57, Windows, res/matrices/Flan_1565, eigen, 0.000000, 0.000000, 0, 3126673408, 4294967295
05-06-2019 10:37:33, Windows, ex15, matlab, 0.000065, null, 0.000000e+00, 6922240, 1912832
05-06-2019 10:37:50, Windows, shallow_water1, matlab, 0.000063, null, 0.000000e+00, 6930432, 1912832
05-06-2019 10:38:07, Windows, apache2, matlab, 0.000057, null, 0.000000e+00, 6909952, 1908736
05-06-2019 10:38:24, Windows, parabolic_fem, matlab, 0.000077, null, 0.000000e+00, 6905856, 1900544
05-06-2019 10:38:41, Windows, G3_circuit, matlab, 0.000070, null, 0.000000e+00, 6934528, 1921024
05-06-2019 10:38:58, Windows, cfd1, matlab, 0.000072, null, 0.000000e+00, 6914048, 1904640
05-06-2019 10:39:16, Windows, cfd2, matlab, 0.000071, null, 0.000000e+00, 6909952, 1900544
05-06-2019 10:39:35, Windows, StocF-1465, matlab, 0.000085, null, 0.000000e+00, 6934528, 1921024
05-06-2019 10:39:58, Windows, Flan_1565, matlab, 0.000073, null, 0.000000e+00, 6938624, 1933312
